53.39,10.52,4.82,0,1.88
46.23,15.13,5.31,0,2.13
42.85,18.79,3.59,0,2.66
53.09,18.33,3.67,0,2.03
57.04,16.71,8.32,0,1.79
40.31,17.41,5.51,0,2.75
56.26,11.19,2.34,0,2.29
54.48,13.21,1.9,0,2.36
48.36,16.9,9.09,0,1.94
50.78,12.04,6.82,0,1.8
47.45,11.1,3.62,0,2.25
51.08,10,5.17,0,1.89
53.66,11.91,1.91,0,2.36
46,15.85,2.46,0,2.56
47.61,18.99,6.47,0,1.96
46.76,17.72,2.3,0,2.54
49.71,11.41,9.58,0,1.91
41.22,15.94,0.05,0,3.66
48.14,18.51,4.51,0,2.09
51.13,15.12,5.88,0,1.83
41.38,17.49,6.49,0,2.55
47.15,17.77,4.42,0,2.16
43.79,17.64,4.18,0,2.48
59.17,16.99,0.65,0,2.81
56.04,15.38,9.13,0,1.81
58.6,15.61,0.28,0,2.88
45.67,18.51,5.25,0,2.18
49.86,13.56,7.38,0,1.82
54.32,17.61,2.43,0,2.25
44.29,19.19,1.81,0,2.85
48.25,10.6,6.83,0,1.91
41.43,17.42,6.85,0,2.53
50.77,18.18,3.34,0,2.13
53.54,15.91,0.78,0,2.64
44.96,15.77,7.02,0,2.15
45.74,17.49,7.01,0,2.08
50.63,10.93,1.81,0,2.44
52.53,10.31,4.3,0,1.95
53.95,11.53,4.96,0,1.86
44.8,17,6.93,0,2.16
59.94,12.81,5.71,0,1.98
49.66,15.42,3.05,0,2.23
48.18,10.33,6.28,0,1.93
41.96,16.28,7.43,0,2.46
46.79,16.6,1.22,0,2.78
43.55,15.69,5.12,0,2.39
58.87,12.57,5.62,0,1.92
42.35,19.48,1.28,0,3.19
44.38,11.35,1.46,0,2.93
42.11,12.85,1.99,0,3.05
45.47,19.99,6.33,0,2.13
57.04,14,6.14,0,1.82
52.87,10.73,5.7,0,1.81
44.67,16.76,0.72,0,3.09
47.75,13.13,3.5,0,2.25
51.61,17.97,7.82,0,1.77
56.76,19.17,4.33,0,1.97
47.1,18.56,1.04,0,2.81
59.61,10.45,6.38,0,1.92
48.73,17.23,1.48,0,2.6
53.8,18.26,2.98,0,2.14
54.74,16.13,7.94,0,1.74
59.35,12.47,7.89,0,1.88
41.09,17.42,2.33,0,3.1
45.53,14.14,4.82,0,2.24
45.06,11.91,2.51,0,2.63
42.94,14.71,1.54,0,3.06
44.26,15.93,6.45,0,2.23
56.04,13.17,2.02,0,2.36
57.98,12.31,3.59,0,2.12
46.92,18.41,4.13,0,2.21
56.35,13.33,1.68,0,2.44
49.89,10.32,2.47,0,2.33
55.05,17.92,2.4,0,2.26
45.67,18.7,4.3,0,2.29
40.6,19.79,3.29,0,2.99
43.29,17.12,8.84,0,2.34
49.29,11,2.94,0,2.26
52.66,13.16,1.1,0,2.56
42.23,15.44,5.01,0,2.55
55.26,19.19,3.52,0,2.06
58.82,19.73,7.82,0,1.85
50.38,17.98,9.96,0,1.92
53.02,15.92,8.25,0,1.75
51.71,14.99,8.1,0,1.77
43.56,13.98,0.74,0,3.19
42.63,15.55,1.89,0,3.01
43.57,17.13,2.33,0,2.81
58.34,10.91,4.07,0,2.06
47.9,17.49,3.32,0,2.27
45.6,19.3,2.42,0,2.6
45.5,14.36,1.98,0,2.7
45.37,14.6,8.6,0,2.13
59.1,10.92,5.87,0,1.92
50.44,12.88,4.34,0,2
46.47,15.29,7.54,0,2.02
52.56,18.65,8.03,0,1.75
57,14.42,6.61,0,1.8
49.73,13.42,8.75,0,1.86
49.36,16.24,8.93,0,1.88
41.85,13.31,1.14,0,3.28
46.94,18.22,1.8,0,2.63
57.33,19.18,8.31,0,1.8
52.82,14.2,3.82,0,2.01
43.19,14.94,9.84,0,2.43
46.47,10.56,0.25,0,3.07
44.13,10.99,8.18,0,2.23
53.62,12.25,8.1,0,1.74
58.55,11.04,2.1,0,2.42
46.98,10.71,2.9,0,2.4
46.02,13.23,4.87,0,2.19
54.75,13.38,0.72,0,2.66
41.39,14.95,0.94,0,3.39
55.67,11.18,2.7,0,2.21
55.49,15.38,1.86,0,2.38
46.15,14.12,2.98,0,2.45
44.16,19.54,0.9,0,3.09
41.32,16.18,9.69,0,2.64
49.68,19.22,8.5,0,1.85
51.09,10.42,5.61,0,1.85
59.36,13.41,1.44,0,2.61
51.72,10.94,4.8,0,1.91
50.99,19.25,9.01,0,1.83
56.93,15.75,4.98,0,1.91
41.59,10.05,9.56,0,2.59
45.43,10.28,0.17,0,3.18
46.82,17.51,0.96,0,2.85
47.25,16.38,9.21,0,2.02
55.78,16.48,8.73,0,1.78
57.29,12.44,5.44,0,1.87
57.91,12.46,1.33,0,2.57
55.91,10.29,5.02,0,1.88
51.54,15.24,9.56,0,1.85
54.91,14.26,4.23,0,1.95
44.67,12.65,3.38,0,2.51
49.43,17.52,1.31,0,2.61
52.92,12.09,7.86,0,1.74
